Police Id,Licence Number,Fine
1426,DL1C65848,1800
1427,DL1C52128,400
1428,DL1C25208,600
1429,DL1C19099,1300
1430,DL1C12569,600
1431,DL1C92547,1100
1432,DL1C11806,1100
1433,DL1C51128,400
1434,DL1C66563,500
1435,DL1C64885,500
1436,DL1C25936,1700
1437,DL1C94405,1900
1438,DL1C31933,1800
1439,DL1C25226,1800
1440,DL1C84453,400
1441,DL1C82819,1200
1442,DL1C76353,800
1443,DL1C72633,1700
1444,DL1C75090,900
1445,DL1C80406,600
1446,DL1C54869,700
1447,DL1C49612,1800
1448,DL1C90026,500
1449,DL1C12656,1700
1450,DL1C54040,1400
1451,DL1C63430,200
1452,DL1C32668,400
1453,DL1C51704,1800
1454,DL1C26354,300
1455,DL1C17534,1100
1456,DL1C88651,700
1457,DL1C10015,400
1458,DL1C89664,1200
1459,DL1C59564,1200
1460,DL1C49735,1500
1461,DL1C81945,200
1462,DL1C76706,1000
1463,DL1C28266,500
1464,DL1C85773,700
1465,DL1C42468,1800
1466,DL1C58119,300
1467,DL1C18374,900
1468,DL1C67799,500
1469,DL1C39630,1100
1470,DL1C14474,1500
1471,DL1C99485,1500
1472,DL1C88715,300
1473,DL1C13659,2000
1474,DL1C24402,900
1475,DL1C72392,2000
1476,DL1C35206,1800
1477,DL1C87627,1400
1478,DL1C50454,800
1479,DL1C81837,1000
1480,DL1C82608,1000
1481,DL1C78577,500
1482,DL1C67284,1900
1483,DL1C20976,1900
1484,DL1C36691,400
1485,DL1C43852,1900
1486,DL1C85001,1200
1487,DL1C48308,600
1488,DL1C68002,1000
1489,DL1C26285,1200
1490,DL1C56329,2000
1491,DL1C83678,200
1492,DL1C78395,400
1493,DL1C87580,1900
1494,DL1C55087,1500
1495,DL1C40175,400
1496,DL1C32572,1800
1497,DL1C35886,2000
1498,DL1C42104,700
1499,DL1C80706,1500
1500,DL1C88307,1300
1501,DL1C40418,1900
1502,DL1C55277,1000
1503,DL1C62443,700
1504,DL1C89448,800
1505,DL1C31710,200
1506,DL1C33630,1800
1507,DL1C35126,1800
1508,DL1C90934,800
1509,DL1C71982,1500
1510,DL1C90192,1600
1511,DL1C34114,1200
1512,DL1C65377,1600
1513,DL1C12462,1500
1514,DL1C77210,1600
1515,DL1C11720,1000
1516,DL1C26331,900
1517,DL1C71989,1300
1518,DL1C96950,1100
1519,DL1C14813,800
1520,DL1C77140,1100
1521,DL1C96689,1000
1522,DL1C30591,1500
1523,DL1C69607,1600
1524,DL1C54571,200
1525,DL1C13782,500
1526,DL1C94045,1500
1527,DL1C61860,800
1528,DL1C94969,700
1529,DL1C59284,300
1530,DL1C88703,1900
1531,DL1C84793,1400
1532,DL1C85573,1900
1533,DL1C54324,900
1534,DL1C41078,1400
1535,DL1C47992,800
1536,DL1C37023,500
1537,DL1C81351,1300
1538,DL1C50170,1300
1539,DL1C90040,1100
1540,DL1C64261,2000
1541,DL1C65582,1000
1542,DL1C68204,1000
1543,DL1C68320,600
1544,DL1C37871,200
1545,DL1C18575,1900
1546,DL1C81184,1700
1547,DL1C46340,1600
1548,DL1C30157,1200
1549,DL1C30335,1800
1550,DL1C34436,1800
1551,DL1C81967,1700
1552,DL1C64195,1100
1553,DL1C40729,1400
1554,DL1C15199,1800
1555,DL1C17975,1200
1556,DL1C89416,800
1557,DL1C81079,800
1558,DL1C38095,1500
1559,DL1C65246,1500
1560,DL1C97173,1100
1561,DL1C82352,1400
1562,DL1C92892,800
1563,DL1C72852,1100
1564,DL1C60955,1800
1565,DL1C88669,1300
1566,DL1C90684,1600
1567,DL1C90216,1400
1568,DL1C24929,1200
1569,DL1C12845,800
1570,DL1C97620,1500
1571,DL1C60796,1600
1572,DL1C30035,600
1573,DL1C83432,1100
1574,DL1C20430,700
1575,DL1C82304,1100
1576,DL1C68001,1300
1577,DL1C80672,2000
1578,DL1C49424,1800
1579,DL1C48963,700
1580,DL1C58268,1200
1581,DL1C26786,1300
1582,DL1C88141,500
1583,DL1C32068,800
1584,DL1C68335,400
1585,DL1C37810,1000
1586,DL1C22278,1600
1587,DL1C63654,800
1588,DL1C39407,1800
1589,DL1C61034,900
1590,DL1C60423,1700
1591,DL1C22642,200
1592,DL1C66997,500
1593,DL1C69572,600
1594,DL1C60016,1600
1595,DL1C76360,1800
1596,DL1C31327,1100
1597,DL1C69903,1000
1598,DL1C53093,1300
1599,DL1C84219,300
1600,DL1C23380,1700
1601,DL1C34072,800
1602,DL1C67837,1900
1603,DL1C73935,1600
1604,DL1C35479,200
1605,DL1C96277,1200
1606,DL1C51935,600
1607,DL1C41073,1600
1608,DL1C46813,900
1609,DL1C97031,1200
1610,DL1C62705,600
1611,DL1C40979,1900
1612,DL1C71237,700
1613,DL1C39795,1300
1614,DL1C11415,700
1615,DL1C79992,400
1616,DL1C27214,1400
1617,DL1C82196,400
1618,DL1C53926,1200
1619,DL1C86189,200
1620,DL1C63381,1300
1621,DL1C60283,1100
1622,DL1C69405,300
1623,DL1C22607,300
1624,DL1C85483,2000
1625,DL1C93232,1500
1626,DL1C97342,700
1627,DL1C18957,1500
1628,DL1C76283,600
1629,DL1C52983,200
1630,DL1C24540,400
1631,DL1C83990,1200
1632,DL1C45246,1800
1633,DL1C48046,700
1634,DL1C38801,1300
1635,DL1C76833,700
1636,DL1C34629,400
1637,DL1C98055,200
1638,DL1C42377,1500
1639,DL1C81470,400
1640,DL1C80349,1300
1641,DL1C50835,1700
1642,DL1C37275,2000
1643,DL1C86464,2000
1644,DL1C89352,1300
1645,DL1C10906,800
1646,DL1C31541,1800
1647,DL1C81565,1400
1648,DL1C47606,2000
1649,DL1C51891,1600
1650,DL1C60212,300
1651,DL1C70995,1900
1652,DL1C18702,900
1653,DL1C81620,800
1654,DL1C41983,2000
1655,DL1C29535,700
1656,DL1C34508,900
1657,DL1C13043,400
1658,DL1C90266,400
1659,DL1C46457,900
1660,DL1C15175,1800
1661,DL1C58984,1700
1662,DL1C99293,800
1663,DL1C12243,400
1664,DL1C76919,600
1665,DL1C31362,1600
1666,DL1C27705,600
1667,DL1C96971,1700
1668,DL1C82919,800
1669,DL1C20975,1600
1670,DL1C15729,1700
1671,DL1C66322,1900
1672,DL1C30529,1300
1673,DL1C81072,800
1674,DL1C34525,1200
1675,DL1C42108,1000
1676,DL1C19919,2000
1677,DL1C14237,1100
1678,DL1C68049,2000
1679,DL1C35706,1100
1680,DL1C82531,1100
1681,DL1C70177,1500
1682,DL1C12310,500
1683,DL1C64636,200
1684,DL1C10138,1600
1685,DL1C55567,1500
1686,DL1C77830,1200
1687,DL1C87503,2000
1688,DL1C84306,1500
1689,DL1C75547,1700
1690,DL1C89423,700
1691,DL1C43627,1300
1692,DL1C99123,900
1693,DL1C95790,400
1694,DL1C83388,2000
1695,DL1C90863,1100
1696,DL1C46252,1600
1697,DL1C11164,600
1698,DL1C16251,1600
1699,DL1C45622,300
1700,DL1C99362,1200
1701,DL1C92712,700
1702,DL1C24687,900
1703,DL1C11608,800
1704,DL1C55681,1400
1705,DL1C60096,600
1706,DL1C54199,1300
1707,DL1C82017,1600
1708,DL1C14310,1100
1709,DL1C13647,1300
1710,DL1C66362,1400
1711,DL1C26779,900
1712,DL1C72657,1100
1713,DL1C12815,1500
1714,DL1C66112,200
1715,DL1C89517,300
1716,DL1C90050,1000
1717,DL1C81231,200
1718,DL1C20663,1300
1719,DL1C31238,2000
1720,DL1C11647,200
1721,DL1C77019,1100
1722,DL1C42846,200
1723,DL1C74398,1200
1724,DL1C74840,200
1725,DL1C61377,800
1726,DL1C92416,1300
1727,DL1C36653,200
1728,DL1C40246,800
1729,DL1C94196,1700
1730,DL1C91718,1500
1731,DL1C47124,600
1732,DL1C22256,700
1733,DL1C31227,900
1734,DL1C38909,1300
1735,DL1C45189,1400
1736,DL1C11645,300
1737,DL1C81859,1700
1738,DL1C11848,1500
1739,DL1C78238,1200
1740,DL1C61498,700
1741,DL1C89295,1700
1742,DL1C58246,200
1743,DL1C10764,500
1744,DL1C75716,600
1745,DL1C41215,1400
1746,DL1C68034,1100
1747,DL1C30151,500
1748,DL1C90910,1900
1749,DL1C13097,1500
1750,DL1C53340,1400
1751,DL1C28288,1500
1752,DL1C40526,1400
1753,DL1C25495,200
1754,DL1C19147,1400
1755,DL1C98460,1000
1756,DL1C67438,2000
1757,DL1C46274,500
1758,DL1C36515,1500
1759,DL1C12153,1000
1760,DL1C36894,200
1761,DL1C65459,1900
1762,DL1C31831,1900
1763,DL1C57241,1100
1764,DL1C49179,1700
1765,DL1C33860,200
1766,DL1C55372,1800
1767,DL1C76973,600
1768,DL1C27570,1400
1769,DL1C15334,800
1770,DL1C72539,2000
1771,DL1C20648,1900
1772,DL1C34440,1900
1773,DL1C89159,1100
1774,DL1C85620,800
1775,DL1C50579,1400
1776,DL1C66026,2000
1777,DL1C82961,1700
1778,DL1C28344,600
1779,DL1C94572,700
1780,DL1C87910,1700
1781,DL1C76710,1600
1782,DL1C28209,1800
1783,DL1C73584,1700
1784,DL1C57782,1000
1785,DL1C61206,1200
1786,DL1C84180,1100
1787,DL1C16477,1000
1788,DL1C72448,1400
1789,DL1C91053,500
1790,DL1C20214,500
1791,DL1C70908,1300
1792,DL1C65290,2000
1793,DL1C23549,2000
1794,DL1C10439,1300
1795,DL1C28879,300
1796,DL1C28648,800
1797,DL1C64032,2000
1798,DL1C13942,800
1799,DL1C73122,1800
1800,DL1C55793,800
1801,DL1C28945,1100
1802,DL1C88147,500
1803,DL1C11147,2000
1804,DL1C25074,1100
1805,DL1C93999,600
1806,DL1C40138,1200
1807,DL1C55576,800
1808,DL1C25091,1100
1809,DL1C11221,200
1810,DL1C65082,900
1811,DL1C47515,800
1812,DL1C90280,1800
1813,DL1C41130,400
1814,DL1C40710,500
1815,DL1C33463,500
1816,DL1C85376,300
1817,DL1C12618,400
1818,DL1C76728,300
1819,DL1C54454,300
1820,DL1C76133,2000
1821,DL1C25805,1500
1822,DL1C82358,1800
1823,DL1C27267,2000
1824,DL1C20853,800
1825,DL1C23399,800
1826,DL1C74087,1300
1827,DL1C21701,1500
1828,DL1C68341,1400
1829,DL1C72752,1200
1830,DL1C38335,600
1831,DL1C14589,300
1832,DL1C81707,600
1833,DL1C98251,200
1834,DL1C63281,700
1835,DL1C32090,1100
1836,DL1C10566,800
1837,DL1C75913,200
1838,DL1C53400,1600
1839,DL1C18808,600
1840,DL1C34569,800
1841,DL1C70777,1600
1842,DL1C48925,1000
1843,DL1C92868,1500
1844,DL1C12762,800
1845,DL1C67368,500
1846,DL1C33864,1000
1847,DL1C63979,300
1848,DL1C83819,1100
1849,DL1C53917,700
1850,DL1C84692,1300
1851,DL1C18365,1100
1852,DL1C13387,300
1853,DL1C90084,300
1854,DL1C28879,300
1855,DL1C80451,1200
1856,DL1C64772,700
1857,DL1C35723,900
1858,DL1C31650,1100
1859,DL1C59068,1200
1860,DL1C81806,1000
1861,DL1C38603,1800
1862,DL1C43175,1300
1863,DL1C62934,1100
1864,DL1C16754,1000
1865,DL1C19710,700
1866,DL1C62017,1000
1867,DL1C88611,1100
1868,DL1C34296,2000
1869,DL1C13303,1700
1870,DL1C24669,1600
1871,DL1C66082,1800
1872,DL1C13376,1900
1873,DL1C44241,1800
1874,DL1C75910,900
1875,DL1C98412,1000
1876,DL1C91532,1900
1877,DL1C50021,1100
1878,DL1C60056,1300
1879,DL1C97051,1900
1880,DL1C91385,1800
1881,DL1C56821,1900
1882,DL1C90783,700
1883,DL1C97247,800
1884,DL1C36764,1100
1885,DL1C87384,700
1886,DL1C15079,900
1887,DL1C74681,500
1888,DL1C12037,600
1889,DL1C35000,1300
1890,DL1C22264,1700
1891,DL1C11335,1100
1892,DL1C49086,1200
1893,DL1C27321,1200
1894,DL1C10875,1400
1895,DL1C97049,200
1896,DL1C96206,2000
1897,DL1C85045,1300
1898,DL1C76723,1000
1899,DL1C47882,1400
1900,DL1C62334,600
1901,DL1C31952,1100
1902,DL1C10586,1300
1903,DL1C64392,1900
1904,DL1C17731,300
1905,DL1C61547,1800
1906,DL1C87971,1800
1907,DL1C26169,1200
1908,DL1C79331,400
1909,DL1C96660,1600
1910,DL1C61613,1700
1911,DL1C82163,1900
1912,DL1C89085,2000
1913,DL1C58443,1600
1914,DL1C97907,2000
1915,DL1C24762,1800
1916,DL1C42964,400
1917,DL1C90740,1700
1918,DL1C52854,1200
1919,DL1C28697,500
1920,DL1C13362,2000
1921,DL1C84933,200
1922,DL1C98095,1700
1923,DL1C91616,900
1924,DL1C60842,2000
1925,DL1C54809,1900
1926,DL1C87612,1800
1927,DL1C58898,1400
1928,DL1C33426,700
1929,DL1C16098,1600
1930,DL1C12698,1600
1931,DL1C37836,1400
1932,DL1C48277,1200
1933,DL1C81616,1000
1934,DL1C47035,1900
1935,DL1C15082,1700
1936,DL1C31342,1600
1937,DL1C54902,1200
1938,DL1C48559,900
1939,DL1C47835,1600
1940,DL1C54240,1800
1941,DL1C39012,1300
1942,DL1C37853,1000
1943,DL1C97287,200
1944,DL1C71195,400
1945,DL1C79005,2000
1946,DL1C17831,1100
1947,DL1C50072,1300
1948,DL1C40875,800
1949,DL1C43733,1000
1950,DL1C44744,1600
1951,DL1C41398,300
1952,DL1C34006,200
1953,DL1C17365,600
1954,DL1C29081,2000
1955,DL1C34269,1700
1956,DL1C43576,700
1957,DL1C50699,400
1958,DL1C19997,1900
1959,DL1C36170,400
1960,DL1C94490,1700
1961,DL1C94715,800
1962,DL1C90711,800
1963,DL1C53669,1400
1964,DL1C27505,1100
1965,DL1C64698,2000
1966,DL1C42074,1500
1967,DL1C62649,1800
1968,DL1C50354,1000
1969,DL1C28468,1000
1970,DL1C46923,700
1971,DL1C84553,1000
1972,DL1C91482,400
1973,DL1C46514,1300
1974,DL1C18347,1400
1975,DL1C94036,400
1976,DL1C65769,1300
1977,DL1C17708,300
1978,DL1C20334,500
1979,DL1C26105,2000
1980,DL1C61249,1700
1981,DL1C13631,1400
1982,DL1C20828,2000
1983,DL1C88094,200
1984,DL1C22078,1100
1985,DL1C87018,200
1986,DL1C22149,700
1987,DL1C87903,300
1988,DL1C22656,200
1989,DL1C89757,1600
1990,DL1C66662,1000
1991,DL1C49021,700
1992,DL1C17836,1900
1993,DL1C80965,2000
1994,DL1C70634,1500
1995,DL1C26109,2000
1996,DL1C32889,1900
1997,DL1C92035,800
1998,DL1C82809,700
1999,DL1C59747,900
2000,DL1C26629,1200
2001,DL1C59596,2000
2002,DL1C50903,500
2003,DL1C19234,900
2004,DL1C49757,1700
2005,DL1C76558,800
2006,DL1C10125,1700
2007,DL1C49236,800
2008,DL1C57797,300
2009,DL1C64633,1700
2010,DL1C53091,1400
2011,DL1C69180,1600
2012,DL1C15834,2000
2013,DL1C92960,500
2014,DL1C17814,500
2015,DL1C54363,1600
2016,DL1C73515,2000
2017,DL1C24503,1500
2018,DL1C85896,1200
2019,DL1C77188,400
2020,DL1C33581,1300
2021,DL1C93774,600
2022,DL1C46371,1300
2023,DL1C95663,1300
2024,DL1C34597,2000
2025,DL1C27554,500
2026,DL1C74820,1700
2027,DL1C57583,1400
2028,DL1C20565,1200
2029,DL1C71456,1300
2030,DL1C23740,700
2031,DL1C88351,1800
2032,DL1C18419,400
2033,DL1C37099,700
2034,DL1C60828,1500
2035,DL1C93293,700
2036,DL1C52295,800
2037,DL1C52304,2000
2038,DL1C93546,1300
2039,DL1C65892,1300
2040,DL1C59109,1100
2041,DL1C34432,500
2042,DL1C14419,1600
2043,DL1C30741,200
2044,DL1C58155,1400
2045,DL1C25831,1500
2046,DL1C26123,900
2047,DL1C37192,1500
2048,DL1C17523,900
2049,DL1C94273,1300
2050,DL1C50218,500
2051,DL1C54253,300
2052,DL1C60807,2000
2053,DL1C96857,1500
2054,DL1C10588,1600
2055,DL1C74544,1100
2056,DL1C90566,1200
2057,DL1C28819,1600
2058,DL1C52566,2000
2059,DL1C86487,1600
2060,DL1C86503,1400
2061,DL1C19723,1600
2062,DL1C33748,700
2063,DL1C24418,1500
2064,DL1C68674,1300
2065,DL1C88039,1400
2066,DL1C61361,1100
2067,DL1C78633,1800
2068,DL1C97023,600
2069,DL1C96991,400
2070,DL1C77898,1400
2071,DL1C95588,1700
2072,DL1C23981,800
2073,DL1C66081,600
2074,DL1C44149,300
2075,DL1C76676,1500
2076,DL1C25172,700
2077,DL1C65011,400
2078,DL1C36954,500
2079,DL1C73585,1200
2080,DL1C36659,1900
2081,DL1C59161,1900
2082,DL1C42582,1500
2083,DL1C61772,2000
2084,DL1C30304,500
2085,DL1C13479,1900
2086,DL1C80851,1600
2087,DL1C15839,1800
2088,DL1C84753,1000
2089,DL1C72172,800
2090,DL1C34737,1500
2091,DL1C20095,400
2092,DL1C56108,500
2093,DL1C92090,800
2094,DL1C29308,500
2095,DL1C95824,1400
2096,DL1C36628,1400
2097,DL1C80430,1000
2098,DL1C70982,1900
2099,DL1C89165,900
2100,DL1C21144,300
2101,DL1C88432,1400
2102,DL1C52192,1000
2103,DL1C92965,500
2104,DL1C44342,1400
2105,DL1C67479,2000
2106,DL1C75258,1400
2107,DL1C11320,1100
2108,DL1C18515,400
2109,DL1C84018,700
2110,DL1C71230,400
2111,DL1C74237,1200
2112,DL1C31514,1900
2113,DL1C57448,900
2114,DL1C64439,1700
2115,DL1C14089,300
2116,DL1C48530,800
2117,DL1C75375,200
2118,DL1C79890,600
2119,DL1C73148,1700
2120,DL1C35507,1500
2121,DL1C44041,500
2122,DL1C90635,1100
2123,DL1C77469,200
2124,DL1C30148,900
2125,DL1C56151,900
2126,DL1C34905,500
2127,DL1C37955,1000
2128,DL1C32409,1500
2129,DL1C58877,1600
2130,DL1C64362,1200
2131,DL1C25846,200
2132,DL1C96868,1800
2133,DL1C94067,400
2134,DL1C19268,1600
2135,DL1C89835,1300
2136,DL1C72236,500
2137,DL1C59687,1400
2138,DL1C12882,1000
2139,DL1C92020,2000
2140,DL1C16166,1900
2141,DL1C41151,200
2142,DL1C67311,500
2143,DL1C91502,1800
2144,DL1C45827,1500
2145,DL1C71349,500
2146,DL1C17005,1000
2147,DL1C29443,600
2148,DL1C45679,1100
2149,DL1C92237,1600
2150,DL1C18150,1300
2151,DL1C56132,800
2152,DL1C11189,1300
2153,DL1C93600,1900
2154,DL1C59850,1300
2155,DL1C33035,1100
2156,DL1C43993,1900
2157,DL1C79629,600
2158,DL1C63431,700
2159,DL1C70358,800
2160,DL1C33551,1000
2161,DL1C58970,1900
2162,DL1C87241,1200
2163,DL1C81217,1100
2164,DL1C95411,1200
2165,DL1C82533,1500
2166,DL1C59589,400
2167,DL1C84778,1500
2168,DL1C81441,300
2169,DL1C31853,1700
2170,DL1C91710,300
2171,DL1C12307,1300
2172,DL1C94747,500
2173,DL1C16643,700
2174,DL1C11813,200
2175,DL1C94949,900
2176,DL1C68787,1900
2177,DL1C92327,800
2178,DL1C65238,1500
2179,DL1C85477,1600
2180,DL1C76601,600
2181,DL1C16340,1800
2182,DL1C52825,600
2183,DL1C75515,800
2184,DL1C23949,1200
2185,DL1C28250,600
2186,DL1C97396,300
2187,DL1C45624,900
2188,DL1C45924,1600
2189,DL1C70849,1300
2190,DL1C76754,600
2191,DL1C60606,1100
2192,DL1C88283,1900
2193,DL1C60197,800
2194,DL1C53334,1200
2195,DL1C25832,1400
2196,DL1C18816,1800
2197,DL1C19356,400
2198,DL1C77860,1600
2199,DL1C42518,1000
2200,DL1C14748,400
2201,DL1C74308,1700
2202,DL1C18824,1400
2203,DL1C99845,500
2204,DL1C66949,1100
2205,DL1C90099,1800
2206,DL1C32652,300
2207,DL1C81176,500
2208,DL1C15066,1500
2209,DL1C54757,1500
2210,DL1C87843,1500
2211,DL1C38939,600
2212,DL1C87113,1200
2213,DL1C89620,1000
2214,DL1C36036,1200
2215,DL1C80069,300
2216,DL1C75212,400
2217,DL1C16793,1300
2218,DL1C74705,600
2219,DL1C37169,900
2220,DL1C55951,1300
2221,DL1C58567,1400
2222,DL1C87272,1800
2223,DL1C83366,1400
2224,DL1C35358,1100
2225,DL1C60188,900
2226,DL1C91263,800
2227,DL1C49308,1300
2228,DL1C33315,1500
2229,DL1C78544,1600
2230,DL1C84682,1700
2231,DL1C14139,1300
2232,DL1C41932,1700
2233,DL1C49708,600
